from,to,count,kind,type,status,reason
robertteske,bjoernhoeckeafd,9,live,link,,
spanielmdb,afdjugendbw,9,live,link,,
tomaszfroelich,tagesstimme,9,live,link,,
waldgangalbdruck,evahermanoffiziell,9,live,link,,
waldgangalbdruck,freemarketinmoney,9,live,link,,
wolfpmsoffiziell,castellaurora,9,live,link,,
wolfpmsoffiziell,irmhild_bossdorf,9,live,link,,
afdjugendbw,wilhelmkachel,8,live,link,,
aktivistmanuel,kiesdries,8,live,link,,
aktivistmanuel,vorstadtaktivist,8,live,link,,
alex_malenki,joergdornau,8,live,link,,
alexsellberlin,marykhanafd,8,live,link,,
castellaurora,jungeuropa,8,live,link,,
club451,zentropaserbia,8,live,link,,
danielhaseloffafd,moellerth,8,live,link,,
danielhaseloffafd,teamaust,8,live,link,,
dereckart,info_direkt,8,live,link,,
ein_prozent,benediktkaiser,8,live,link,,
ein_prozent,matthiashelferich,8,live,link,,
generation_thueringen,danielhaseloffafd,8,live,link,,
generation_thueringen,lukreta,8,live,link,,
hcberndt,dennis_hohloch,8,live,link,,
hcberndt,jeanpascal_hohm,8,live,link,,
hcberndt,muehle_cottbus,8,live,link,,
imbolcslicht,kontaktimbolcslicht,8,live,link,,
jadeutschland,info_direkt,8,live,link,,
jadeutschland,jungealternativelsa,8,live,link,,
jadeutschland,jungealternativenrw,8,live,link,,
jadeutschland,matthiashelferich,8,live,link,,
jungealternativenrw,bjoernhoeckeafd,8,live,link,,
jungealternativenrw,junge_freiheit_official,8,live,link,,
jungealternativesh,afd_ostholstein,8,live,link,,
jungeuropa,castellaurora,8,live,link,,
lukreta,jungetat,8,live,link,,
marcus_buehl,afdfraktionimbundestag,8,live,link,,
martinctkohler,dekurier,8,live,link,,
marvintneumann,imperiumpressofficial,8,live,link,,
marykhanafd,lukreta,8,live,link,,
reconquista21,lederhosenrevolte,8,live,link,,
robertteske,afd_thl,8,live,link,,
robertteske,jungealternativenrw,8,live,link,,
soldaten_und_reservisten,deutsch_russische_freunde,8,live,link,,
thorstenweissafd,alexander_bertram,8,live,link,,
thorstenweissafd,auf1tv,8,live,link,,
tomaszfroelich,idearium_debattennetzwerk,8,live,link,,
waldgangalbdruck,auf1tv,8,live,link,,
waldgangalbdruck,rosenbusch,8,live,link,,
afderfurt,robertteske,7,live,link,,
benjamin_d_nolte,castellaurora,7,live,link,,
christopherdroesslerafd,juergenpohlafd,7,live,link,,
club451,clermont_nc,7,live,link,,
club451,zentropasrb,7,live,link,,
dominikkaufner,freilichmagazin,7,live,link,,
generation_thueringen,jungealternativenrw,7,live,link,,
generation_thueringen,robertteske,7,live,link,,
generation_thueringen,teamaust,7,live,link,,
hcberndt,hcberndtoffiziell,7,live,link,,
identitaeredeutschland,ein_prozent,7,live,link,,
identitaereoesterreich,heimatkurier,7,live,link,,
