id,status,reason,total_mentions,source_group_count,source_groups
wlm_canada_qc,flood_wait_exceeded,flood wait 73224s exceeds maxWait=3600s,12,1,wlm_canada
wlm_usa_california_chat,flood_wait_exceeded,flood wait 72858s exceeds maxWait=3600s,12,4,wlm_usa_california|wlm_usa_idaho|wlm_usa_north_carolina|wlm_usa_tennessee
arizonaactionclub,flood_wait_exceeded,flood wait 73689s exceeds maxWait=3600s,10,1,wlm_usa_arizona
patriot_gus,flood_wait_exceeded,flood wait 73880s exceeds maxWait=3600s,10,2,wlm_canada|wlm_usa_michigan
wlm_canada_on,flood_wait_exceeded,flood wait 73276s exceeds maxWait=3600s,10,1,wlm_canada
wlm_it_ch_admin,flood_wait_exceeded,flood wait 73578s exceeds maxWait=3600s,10,3,wlm_eu_italy|wlm_usa_california|wlm_usa_washington2
wlm_new_york,flood_wait_exceeded,flood wait 73080s exceeds maxWait=3600s,10,1,wlm_usa_new_york2
bellcityns,flood_wait_exceeded,flood wait 73455s exceeds maxWait=3600s,8,1,wlm_canada
borealproject,flood_wait_exceeded,flood wait 73507s exceeds maxWait=3600s,8,1,wlm_canada
continentalresistance,flood_wait_exceeded,flood wait 73847s exceeds maxWait=3600s,8,1,wlm_usa_michigan
esmatterofficial,not_found,"No user has ""esmatterofficial"" as username",8,3,whitelivesmatterofficial|wlm_eu_czech_republic|wlm_eu_slovakia
lewiscountrystore,flood_wait_exceeded,flood wait 73061s exceeds maxWait=3600s,8,2,sharedefiant|wlm_usa_new_york2
ruzkemir_news,not_found,"No user has ""ruzkemir_news"" as username",8,2,wlm_eu_russia|wlm_eu_russia_chat
sariots,invalid_username,username invalid,8,1,wlm_eu_russia
veclubcr,not_found,"No user has ""veclubcr"" as username",8,2,activeclubcr|wlm_eu_czech_republic
wildroseactiveclub,flood_wait_exceeded,flood wait 73240s exceeds maxWait=3600s,8,1,wlm_canada
wlm_canada_materials,flood_wait_exceeded,flood wait 73368s exceeds maxWait=3600s,8,1,wlm_canada
wlm_canada_viewing,flood_wait_exceeded,flood wait 73347s exceeds maxWait=3600s,8,1,wlm_canada
bloccostudentesconazionale,flood_wait_exceeded,flood wait 73632s exceeds maxWait=3600s,6,1,wlm_eu_italy
clockworkupdates,flood_wait_exceeded,flood wait 73721s exceeds maxWait=3600s,6,2,wlm_usa_arizona|wlm_usa_michigan
oldarminius,flood_wait_exceeded,flood wait 73025s exceeds maxWait=3600s,6,2,wlm_usa_new_york2|wlm_usa_tennessee
sugartreeadmin,flood_wait_exceeded,flood wait 73151s exceeds maxWait=3600s,6,1,wlm_usa_new_york2
sugartreelegionchat,flood_wait_exceeded,flood wait 73134s exceeds maxWait=3600s,6,1,wlm_usa_new_york2
sugartreelegionnews,flood_wait_exceeded,flood wait 73171s exceeds maxWait=3600s,6,1,wlm_usa_new_york2
thecreativitymovement,flood_wait_exceeded,flood wait 73937s exceeds maxWait=3600s,6,1,wlm_usa_michigan
whiterosegarden,flood_wait_exceeded,flood wait 73006s exceeds maxWait=3600s,6,1,wlm_usa_new_york2
wildroseultras,flood_wait_exceeded,flood wait 73438s exceeds maxWait=3600s,6,1,wlm_canada
wlm_usa_virginia_chat,flood_wait_exceeded,flood wait 72894s exceeds maxWait=3600s,6,2,wlm_usa_north_carolina|wlm_usa_wisconsin
wlmpennsylvania,flood_wait_exceeded,flood wait 74044s exceeds maxWait=3600s,6,1,wlm_usa_pennsylvania
airraidbombshelter2,flood_wait_exceeded,flood wait 73899s exceeds maxWait=3600s,4,1,wlm_usa_michigan
azactionchat,flood_wait_exceeded,flood wait 73673s exceeds maxWait=3600s,4,1,wlm_usa_arizona
borealadmin,flood_wait_exceeded,flood wait 73489s exceeds maxWait=3600s,4,1,wlm_canada
lm_canada,flood_wait_exceeded,flood wait 73294s exceeds maxWait=3600s,4,1,wlm_canada
lm_eu_italy,flood_wait_exceeded,flood wait 73617s exceeds maxWait=3600s,4,1,wlm_eu_italy
lm_eu_poland,not_found,"No user has ""lm_eu_poland"" as username",4,1,wlm_eu_poland
michiganwlm_vetting,flood_wait_exceeded,flood wait 73917s exceeds maxWait=3600s,4,1,wlm_usa_michigan
nationalismunited,flood_wait_exceeded,flood wait 73741s exceeds maxWait=3600s,4,1,wlm_usa_arizona
tradpics,flood_wait_exceeded,flood wait 73042s exceeds maxWait=3600s,4,1,wlm_usa_new_york2
twcaddyshack,flood_wait_exceeded,flood wait 73704s exceeds maxWait=3600s,4,1,wlm_usa_arizona
whitelivesmattercanadaofficial,flood_wait_exceeded,flood wait 73865s exceeds maxWait=3600s,4,1,wlm_usa_michigan
whitelivesmatteroffficial,not_found,"No user has ""whitelivesmatteroffficial"" as username",4,1,wlm_eu_russia
wildroseac,flood_wait_exceeded,flood wait 73208s exceeds maxWait=3600s,4,1,wlm_canada
wlm_canada_listening,flood_wait_exceeded,flood wait 73387s exceeds maxWait=3600s,4,1,wlm_canada
wlm_canada_reading,flood_wait_exceeded,flood wait 73327s exceeds maxWait=3600s,4,1,wlm_canada
wlm_ita_video,flood_wait_exceeded,flood wait 73598s exceeds maxWait=3600s,4,1,wlm_eu_italy
wlm_mittens_tha_don,flood_wait_exceeded,flood wait 73955s exceeds maxWait=3600s,4,1,wlm_usa_michigan
wlm_on_chat,flood_wait_exceeded,flood wait 73259s exceeds maxWait=3600s,4,1,wlm_canada
