from,to,type
ibsachsen:816,zentrum_chemnitz:73,forward
ibsachsen:815,zentrum_chemnitz:72,forward
ibsachsen:811,zentrum_chemnitz:69,forward
ibsachsen:809,zentrum_chemnitz:67,forward
ibsachsen:805,aktion451:225,forward
ibsachsen:804,zentrum_chemnitz:65,forward
ibsachsen:801,identitaeredeutschland:2059,forward
ibsachsen:797,aktion451:221,forward
ibsachsen:794,zentrum_chemnitz:61,forward
ibsachsen:792,aktion451:217,forward
ibsachsen:781,zentrum_chemnitz:58,forward
ibsachsen:778,zentrum_chemnitz:55,forward
ibsachsen:776,identitaeredeutschland:2034,forward
ibsachsen:773,aufdiestrasse:207,forward
ibsachsen:769,identitaeredeutschland:2022,forward
ibsachsen:768,identitaereoesterreich:663,forward
ibsachsen:767,aktion451:192,forward
ibsachsen:766,zentrum_chemnitz:52,forward
ibsachsen:762,identitaereoesterreich:629,forward
ibsachsen:758,aktion451:177,forward
ibsachsen:754,aufdiestrasse:180,forward
ibsachsen:744,zentrum_chemnitz:47,forward
ibsachsen:742,zentrum_chemnitz:46,forward
ibsachsen:741,zentrum_chemnitz:45,forward
ibsachsen:739,ein_prozent:3125,forward
ibsachsen:735,reconquista21:447,forward
ibsachsen:728,identitaeredeutschland:1936,forward
ibsachsen:727,identitaeredeutschland:1931,forward
ibsachsen:724,zentrum_chemnitz:38,forward
ibsachsen:720,dereckart:86,forward
ibsachsen:696,zentrum_chemnitz:33,forward
ibsachsen:687,zentrum_chemnitz:31,forward
ibsachsen:684,aufdiestrasse:158,forward
ibsachsen:682,zentrum_chemnitz:28,forward
ibsachsen:679,zentrum_chemnitz:26,forward
ibsachsen:669,zentrum_chemnitz:16,forward
ibsachsen:668,zentrum_chemnitz:15,forward
ibsachsen:653,zentrum_chemnitz:14,forward
club451:1477,komitet212:110,forward
club451:1476,komitet212:106,forward
club451:1472,club451:1470,forward
club451:1469,komitet212:72,forward
club451:1467,komitet212:71,forward
club451:1454,komitet212:68,forward
club451:1412,club451:1411,reply
club451:1411,club451:1401,forward
reinweiblich:2524,lukreta:2728,forward
reinweiblich:2522,krautzone:4211,forward
reinweiblich:2521,lukreta:2725,forward
reinweiblich:2519,lukreta:2724,forward
reinweiblich:2518,irmhild_bossdorf:480,forward
reinweiblich:2517,krautzone:4198,forward
reinweiblich:2508,lukreta:2697,forward
reinweiblich:2507,krautzone:4180,forward
reinweiblich:2499,lukreta:2688,forward
reinweiblich:2498,krautzone:4164,forward
reinweiblich:2497,irmhild_bossdorf:449,forward
reinweiblich:2494,krautzone:4151,forward
reinweiblich:2493,jungealternativenrw:1451,forward
reinweiblich:2488,lukreta:2670,forward
reinweiblich:2477,lukreta:2655,forward
reinweiblich:2476,krautzone:4124,forward
reinweiblich:2474,lukreta:2651,forward
reinweiblich:2472,lukreta:2641,forward
reinweiblich:2471,krautzone:4112,forward
reinweiblich:2468,marykhanafd:738,forward
reinweiblich:2466,krautzone:4102,forward
reinweiblich:2461,lukreta:2631,forward
reinweiblich:2460,krautzone:4099,forward
reinweiblich:2457,info_direkt:8928,forward
reinweiblich:2456,wilhelmkachel:1384,forward
reinweiblich:2448,castellaurora:606,forward
reinweiblich:2446,castellaurora:599,forward
reinweiblich:2441,lukreta:2601,forward
reinweiblich:2435,lukreta:2593,forward
reinweiblich:2434,krautzone:4075,forward
reinweiblich:2433,krautzone:4060,forward
reinweiblich:2431,irmhild_bossdorf:354,forward
reinweiblich:2429,lukreta:2562,forward
reinweiblich:2425,castellaurora:579,forward
reinweiblich:2424,krautzone:4047,forward
reinweiblich:2417,wilhelmkachel:1362,forward
reinweiblich:2414,voxeuropaherald:959,forward
reinweiblich:2412,jungetat:658,forward
reinweiblich:2410,lukreta:2541,forward
reinweiblich:2407,lukreta:2538,forward
reinweiblich:2406,krautzone:4034,forward
reinweiblich:2405,jungetat:655,forward
reinweiblich:2404,aktivistmanuel:188,forward
reinweiblich:2403,jungetat:654,forward
reinweiblich:2398,jungetat:649,forward
reinweiblich:2395,lukreta:2522,forward
reinweiblich:2394,lukreta:2521,forward
reinweiblich:2392,krautzone:4024,forward
reinweiblich:2391,lukreta:2516,forward
reinweiblich:2380,krautzone:3994,forward
reinweiblich:2379,lukreta:2505,forward
reinweiblich:2378,lukreta:2502,forward
reinweiblich:2376,krautzone:3983,forward
reinweiblich:2374,lukreta:2491,forward
reinweiblich:2369,krautzone:3969,forward
reinweiblich:2368,lukreta:2485,forward
reinweiblich:2344,irmhild_bossdorf:290,forward
reinweiblich:2340,castellaurora:552,forward
reinweiblich:2339,lukreta:2440,forward
reinweiblich:2338,krautzone:3945,forward
reinweiblich:2336,lukreta:2443,forward
reinweiblich:2333,krautzone:3931,forward
reinweiblich:2327,lukreta:2432,forward
reinweiblich:2316,jungetat:615,forward
reinweiblich:2307,voxeuropaherald:859,forward
reinweiblich:2306,irmhild_bossdorf:220,forward
reinweiblich:2295,wilhelmkachel:1293,forward
reinweiblich:2288,jungetat:593,forward
reinweiblich:2279,identitaeredeutschland:2130,forward
reinweiblich:2278,voxeuropaherald:823,forward
reinweiblich:2276,irmhild_bossdorf:196,forward
reinweiblich:2250,fabianjankafd:164,forward
reinweiblich:2249,vorstadtaktivist:126,forward
lukreta:2723,irmhild_bossdorf:480,forward
lukreta:2710,reinweiblich:2515,forward
lukreta:2683,irmhild_bossdorf:449,forward
lukreta:2665,reinweiblich:2487,forward
lukreta:2642,reinweiblich:2473,forward
lukreta:2640,reinweiblich:2470,forward
lukreta:2636,krautzone:4102,forward
lukreta:2630,krautzone:4099,forward
lukreta:2629,reinweiblich:2459,forward
lukreta:2623,reinweiblich:2451,forward
lukreta:2622,wilhelmkachel:1384,forward
lukreta:2609,castellaurora:606,forward
lukreta:2608,thymosmagazin:465,forward
lukreta:2606,castellaurora:599,forward
lukreta:2598,reinweiblich:2438,forward
lukreta:2594,castellaurora:592,forward
lukreta:2592,krautzone:4075,forward
lukreta:2567,reinweiblich:2432,forward
lukreta:2556,castellaurora:579,forward
lukreta:2555,reinweiblich:2423,forward
lukreta:2549,wilhelmkachel:1362,forward
lukreta:2544,jungetat:658,forward
lukreta:2537,krautzone:4034,forward
lukreta:2536,jungetat:655,forward
lukreta:2535,jungetat:654,forward
lukreta:2524,jungetat:649,forward
lukreta:2520,reinweiblich:2393,forward
lukreta:2513,reinweiblich:2386,forward
lukreta:2508,reinweiblich:2383,forward
lukreta:2500,krautzone:3983,forward
lukreta:2490,reinweiblich:2373,forward
lukreta:2486,krautzone:3969,forward
lukreta:2462,reinweiblich:2342,forward
lukreta:2456,castellaurora:552,forward
lukreta:2449,wilhelmkachel:1326,forward
jungeuropa:3261,benediktkaiser:2110,forward
jungeuropa:3260,castellaurora:638,forward
jungeuropa:3252,benediktkaiser:2100,forward
jungeuropa:3251,irmhild_bossdorf:496,forward
jungeuropa:3249,voxeuropaherald:1150,forward
jungeuropa:3246,benediktkaiser:2094,forward
jungeuropa:3240,wolfpmsoffiziell:1549,forward
jungeuropa:3236,robertteske:316,forward
jungeuropa:3231,benediktkaiser:2074,forward
jungeuropa:3221,castellaurora:630,forward
jungeuropa:3220,hydracomicsdd:1040,forward
jungeuropa:3215,benediktkaiser:2054,forward
jungeuropa:3212,benediktkaiser:2051,forward
jungeuropa:3206,castellaurora:627,forward
jungeuropa:3205,benediktkaiser:2023,forward
jungeuropa:3201,benediktkaiser:2017,forward
jungeuropa:3197,matthiashelferich:2230,forward
jungeuropa:3189,benediktkaiser:2002,forward
jungeuropa:3169,fabianjankafd:409,forward
jungeuropa:3161,benediktkaiser:1991,forward
jungeuropa:3156,fabianjankafd:400,forward
jungeuropa:3153,benediktkaiser:1988,forward
jungeuropa:3148,irmhild_bossdorf:412,forward
jungeuropa:3147,castellaurora:616,forward
jungeuropa:3143,benediktkaiser:1979,forward
jungeuropa:3142,benediktkaiser:1977,forward
jungeuropa:3139,fabianjankafd:384,forward
jungeuropa:3108,ein_prozent:3398,forward
jungeuropa:3104,christopherdroesslerafd:256,forward
jungeuropa:3100,benediktkaiser:1948,forward
jungeuropa:3078,fabianjankafd:332,forward
jungeuropa:3076,christopherdroesslerafd:246,forward
jungeuropa:3070,benediktkaiser:1900,forward
jungeuropa:3062,info_direkt:8853,forward
jungeuropa:3054,irmhild_bossdorf:354,forward
jungeuropa:3053,benediktkaiser:1887,forward
jungeuropa:3049,castellaurora:574,forward
jungeuropa:3043,wolfpmsoffiziell:1523,forward
jungeuropa:3040,benediktkaiser:1882,forward
jungeuropa:3021,fabianjankafd:304,forward
jungeuropa:3020,ein_prozent:3381,forward
jungeuropa:3016,benediktkaiser:1861,forward
jungeuropa:3007,franzschmidafd:329,link
jungeuropa:3007,ein_prozent:3376,forward
jungeuropa:3003,info_direkt:8782,forward
jungeuropa:2993,afdschleswigholstein:998,forward
jungeuropa:2983,ein_prozent:3367,forward
jungeuropa:2972,wolfpmsoffiziell:1476,forward
jungeuropa:2970,franzschmidafd:329,forward
jungeuropa:2964,castellaurora:547,forward
zentrum_chemnitz:154,zentrum_chemnitz:152,reply
zentrum_chemnitz:153,ibsachsen:948,forward
zentrum_chemnitz:147,zentrum_chemnitz:142,link
zentrum_chemnitz:137,ibsachsen:919,forward
zentrum_chemnitz:134,identitaeredeutschland:2205,forward
zentrum_chemnitz:102,identitaeredeutschland:2174,forward
zentrum_chemnitz:100,identitaeredeutschland:2169,forward
zentrum_chemnitz:98,identitaeredeutschland:2166,forward
zentrum_chemnitz:94,identitaeredeutschland:2165,forward
zentrum_chemnitz:92,identitaeredeutschland:2119,forward
zentrum_chemnitz:91,aktion451:269,forward
zentrum_chemnitz:83,identitaeredeutschland:2094,forward
zentrum_chemnitz:78,aktion451:258,forward
zentrum_chemnitz:68,ibsachsen:810,forward
zentrum_chemnitz:66,aktion451:225,forward
zentrum_chemnitz:64,aktion451:221,forward
zentrum_chemnitz:60,ibsachsen:793,forward
zentrum_chemnitz:59,aktion451:217,forward
zentrum_chemnitz:53,aktion451:192,forward
zentrum_chemnitz:51,aktion451:177,forward
zentrum_chemnitz:41,identitaeredeutschland:1936,forward
fabianjankafd:439,martinctkohler:650,forward
fabianjankafd:418,dominikkaufner:384,forward
fabianjankafd:415,jungeuropa:3185,forward
fabianjankafd:378,hcberndt:4423,forward
fabianjankafd:323,benediktkaiser:1893,forward
fabianjankafd:316,ein_prozent:3388,forward
fabianjankafd:310,fabianjankafd:303,reply
fabianjankafd:303,fabianjankafd:297,reply
fabianjankafd:239,robertteske:233,forward
fabianjankafd:226,rene_springer:1893,forward
fabianjankafd:217,robertteske:228,forward
fabianjankafd:192,kiesdries:3337,forward
identitaereoesterreich:843,jungetat:697,forward
identitaereoesterreich:839,identitaeredeutschland:2238,forward
identitaereoesterreich:827,identitaeredeutschland:2232,forward
identitaereoesterreich:816,identitaeredeutschland:2216,forward
identitaereoesterreich:815,jungetat:655,forward
identitaereoesterreich:814,identitaeredeutschland:2213,forward
identitaereoesterreich:812,vorstadtaktivist:153,forward
identitaereoesterreich:806,jungetat:630,forward
identitaereoesterreich:766,identitaeredeutschland:2192,forward
identitaereoesterreich:753,jungetat:615,forward
identitaereoesterreich:745,jungetat:593,forward
identitaereoesterreich:741,identitaeredeutschland:2157,forward
identitaereoesterreich:725,identitaereoesterreich:724,link
identitaereoesterreich:721,identitaereoesterreich:720,link
identitaereoesterreich:718,identitaereoesterreich:716,link
identitaereoesterreich:708,jungetat:530,forward
identitaereoesterreich:694,castellaurora:453,forward
identitaereoesterreich:693,ibsachsen:793,forward
identitaereoesterreich:686,ibsachsen:790,forward
identitaereoesterreich:683,reconquista21:490,forward
identitaereoesterreich:661,identitaeredeutschland:2019,forward
identitaereoesterreich:659,jungetat:453,forward
identitaereoesterreich:617,identitaereoesterreich:600,link
